,Partner,Number of Edges
26,FishBase,13
18,Copernicus Marine Service,7
16,National Oceanic and Atmospheric Administration (NOAA),6
7,Global Biodiversity Information Facility (GBIF),5
43,French Research Institute for Exploitation of the Sea (IFREMER),4
15,World Wildlife Fund (WWF),4
12,The Nature Conservancy (TNC),3
27,GEOMAR Helmholtz Centre for Ocean Research Kiel,3
40,Conservation International,3
17,Microsoft,3
14,Wildlife Conservation Society (WCS),3
99,World Ocean Atlas,3
6,Food and Agriculture Organization of the United Nations (FAO),3
65,Flanders Marine Institute (VLIZ),2
70,Latvian Institute of Aquatic Ecology (LHEI),2
75,Institute of Oceanography and Fisheries (IOF),2
74,Georgian Designated National Agency (GeoDNA),2
73,National Institute for Marine Research and Development (NIMRD),2
72,Institute of Oceanology of Bulgarian Academy of Sciences (IO-BAS),2
58,Aarhus University,2
59,International Council for Exploraiton of the Sea (ICES),2
71,Shirshov Institute of Oceanology of Russian Academy of Sciences (SIO-RAS),2
60,Institute for Environmenta nad Sustainability (IES),2
69,Marine Systems Institute (MSI),2
66,Marine and Freshwater Research Institute (MFRI),2
61,Marine Institute (MI),2
68,Institute of Meteorology and Water Management (IMGW),2
67,Finnish Meteorological Institute (FMI),2
62,International Hydrographic Organization (IHO),2
77,International Ocean Institute - Malta Operational Centre at University Of Malta,2
63,Royal Netherlands Institute for Sea Research (NIOZ),2
64,Royal Belgian Institute of National Sciences (RBINS),2
76,National Institute of Biology (NIB),2
82,Deltares,2
78,Israel Oceanographic and Liminological Research Institute (IOLR),2
79,"CNR, Consiglio Nazionale delle Ricerche- Istituto per lo Studio del MARe (CNR)",2
98,"University of Bologna, Environmental Science Laboratory",2
97,Oceanic and Continental Environments and Paleoenvironments (EPOC),2
96,Mediterranean Institute of Oceanography,2
95,ORION Joint Research and Development Center,2
94,Shom,2
93,52Â°North Initiative for Geospatial Open Source Software GmbH,2
92,Helmholtz Centre for Ocean Research Kiel (GEOMAR),2
91,University of Bergen (UiB),2
90,Greek Research and Technology Network (GRNET),2
89,Science and Technology Facilities Council (STFC),2
88,CSC - IT Center for Science,2
87,Cineca,2
86,German Climate Computing Center (DKRZ),2
85,ETT Solutions,2
84,Ukranian Scientific Center for Ecology of the Sea (UkrSCES),2
83,Finnish Environmental Institute (SKYE),2
56,University of Liege,2
81,Spanish National Research Council (CSIC),2
80,"Institute of Oceanology, Polish Academy of Sciences (IO-PAN)",2
57,Institute of Marine Research,2
0,GRID-Arendal,2
55,Alfred-Wegener-Institute for Polar- and Marine Research,2
19,United States Agency for International Development (USAID),2
29,Convention on Biological Diversity,2
28,University of Western Australia,2
25,None indicated,2
24,Fugro,2
23,Mercator Ocean International,2
22,Schmidt Ocean Institute,2
21,China,2
20,WorldFish,2
13,Western Indian Ocean Marine Science Association (WIOMSA),2
31,Northeastern University,2
11,South African National Biodiversity Institute (SANBI),2
10,Smithsonian Institution,2
9,International Barcode of Life (iBOL),2
8,Intergovernmental Platform on Biodiversity and Ecosystem Services (IPBES),2
5,Consultative Group on International Agricultural Research (CGIAR),2
4,BirdLife International,2
3,Western and Central Pacific Fisheries Commission (WCPFC),2
2,Scientific Committee on Oceanic Research (SCOR),2
30,International Union for Conservation of Nature (IUCN),2
32,National Aeronautics and Space Administration (NASA),2
54,Middle East Technical University Institute of Marine Sciences (METU-IMS),2
45,British Oceanographic Data Centre (BODC),2
53,National Institute of Geophysics and Volcanology (INGV),2
52,"National Agency for New Technologies, Energy and Sustainable Economic Development (ENEA)",2
51,All-Russia Research Institute of Hydrometeorological Information - World Data Center (RIHMI-WDC),2
1,Intergovernmental Oceanographic Commission (IOC),2
49,"Hellenic Centre for Marine Research, Institute of Oceanography (HCMR/IO)",2
48,Spanish Oceanograhpic Institute (IEO),2
47,Swedish Meteorological and Hydrological Institute (SMHI),2
46,Bundesamt fur Seeschiffart und Hydrographie (BSH),2
44,Marine Information Service (MARIS),2
33,Oregon State University,2
42,The Nature Conservancy,2
41,National Geographic,2
39,Conservation Alliance for Seafood Solutions,2
38,IUCN,2
37,European Space Agency (ESA),2
36,REV Ocean,2
35,UNESCO Intergovernmental Oceanographic Commission,2
34,University of Washington,2
50,National Institute of Oceanography and Applied Geophysics (OGS),2
